LAT,LON,JAN,FEV,MR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-63.875,0.0942169,0.175876,0.291137,0.0183203,0.00858006,0.00675638,0.0434231,0.00384901,0.185905,0.0553915,0.0777553,0.0359505
-36.875,-63.625,0.100166,0.197576,0.327981,0.0194079,0.0183342,0.00658825,0.062333,0.00441376,0.187377,0.0821592,0.109226,0.0447363
-36.875,-63.375,0.0898263,0.227255,0.343407,0.0241242,0.0245557,0.0072269,0.0683941,0.00494805,0.194364,0.064766,0.0998897,0.0431213
-36.875,-63.125,0.101359,0.197469,0.363377,0.023092,0.023204,0.0249066,0.0357547,0.00726544,0.159876,0.0712851,0.113608,0.0429455
-36.875,-62.875,0.101562,0.192227,0.289041,0.0323447,0.0284991,0.0426407,0.0421296,0.00768685,0.217001,0.059964,0.0727401,0.0658461
-36.875,-62.625,0.0985078,0.161635,0.227727,0.0335209,0.0315544,0.0678398,0.0474982,0.0109544,0.135865,0.057253,0.067995,0.0502549
-36.875,-62.375,0.101014,0.138956,0.201507,0.0417074,0.0325705,0.057243,0.0685456,0.0131234,0.15629,0.0584881,0.0790868,0.0571085
-36.875,-62.125,0.109476,0.145076,0.153272,0.0513759,0.0368533,0.067826,0.0742169,0.00954038,0.158194,0.0584348,0.106539,0.0490506
-36.875,-61.875,0.132034,0.126093,0.122006,0.0623424,0.0430317,0.0511917,0.0574508,0.00997774,0.209878,0.0506899,0.0893224,0.0407513
-36.875,-61.625,0.130905,0.140678,0.129366,0.0468035,0.0452751,0.0464008,0.041945,0.0117915,0.192334,0.0436156,0.0720488,0.041136
-36.875,-61.375,0.138724,0.232797,0.114614,0.0403962,0.0485703,0.0568397,0.0773196,0.0190766,0.211098,0.0607961,0.0819095,0.0426562
-36.875,-61.125,0.109129,0.206164,0.129124,0.0328466,0.0497368,0.0585622,0.0532809,0.0145458,0.158401,0.0722323,0.0978378,0.0469832
-36.875,-60.875,0.0875333,0.126699,0.172174,0.0344338,0.0756548,0.0636427,0.0706282,0.0229826,0.175184,0.0858556,0.10041,0.0686694
-36.875,-60.625,0.0805156,0.113337,0.179067,0.0328745,0.088717,0.0714158,0.0745582,0.0281418,0.168721,0.0836346,0.104439,0.0703339
-36.875,-60.375,0.0859458,0.110461,0.158155,0.0363397,0.110684,0.0696039,0.0739543,0.051167,0.127186,0.0780418,0.107554,0.0679449
-36.875,-60.125,0.0843455,0.114535,0.206804,0.0385315,0.124495,0.0764567,0.0775107,0.044218,0.150642,0.0840574,0.100103,0.0651078
-36.875,-59.875,0.100467,0.129441,0.19011,0.0297916,0.121602,0.0642242,0.0829346,0.0341538,0.191732,0.0891801,0.133077,0.0999019
-36.875,-59.625,0.0842921,0.125307,0.183056,0.0272036,0.0966958,0.0652933,0.0815036,0.0354939,0.185087,0.0768845,0.131805,0.122071
-36.875,-59.375,0.0840982,0.199832,0.19994,0.0307649,0.10294,0.0654276,0.0982571,0.0285821,0.208752,0.0762897,0.154935,0.125491
-36.875,-59.125,0.0735442,0.226601,0.190381,0.03892,0.0775394,0.0811778,0.116609,0.0252294,0.24305,0.0856223,0.153123,0.104426
-36.875,-58.875,0.113371,0.275964,0.260375,0.0534182,0.0963816,0.0887681,0.125683,0.0226149,0.203553,0.126677,0.159039,0.0686693
-36.875,-58.625,0.0957133,0.279066,0.239465,0.0586032,0.100568,0.101288,0.103892,0.0229846,0.182638,0.120471,0.15231,0.0598522
-36.875,-58.375,0.0996817,0.25683,0.255396,0.0663369,0.0942946,0.104939,0.119083,0.0211498,0.169704,0.104945,0.152583,0.0588966
-36.875,-58.125,0.101946,0.27335,0.250355,0.0798546,0.0811962,0.109381,0.154991,0.0222666,0.170124,0.0977537,0.16761,0.0676632
-36.875,-57.875,0.102304,0.28516,0.223275,0.103704,0.158393,0.123328,0.124096,0.0153268,0.15304,0.0872384,0.227763,0.0640499
-36.875,-57.625,0.101722,0.28122,0.211061,0.0880749,0.122723,0.143335,0.14846,0.0328328,0.146078,0.0793328,0.16991,0.0506157
-36.875,-57.375,0.106884,0.29832,0.169476,0.0849966,0.0891158,0.149511,0.157618,0.0464157,0.142241,0.0817757,0.156495,0.0399478
-36.875,-57.125,0.0860641,0.303685,0.169397,0.0935294,0.0791001,0.134533,0.185458,0.0398572,0.14338,0.0572948,0.166525,0.031855
-36.875,-56.875,0.076686,0.302299,0.115483,0.0799078,0.089818,0.162558,0.152052,0.021593,0.119543,0.0518579,0.185662,0.0220461
-36.875,-56.625,0.0755823,0.320945,0.142541,0.0847314,0.11027,0.160412,0.148504,0.0224431,0.113101,0.0430223,0.156562,0.0231887
-36.875,-56.375,0.0772073,0.28198,0.159704,0.13253,0.179033,0.186733,0.162782,0.0257624,0.122707,0.0616636,0.154654,0.0520369
-36.875,-56.125,0.0958144,0.222944,0.17204,0.125083,0.16532,0.186482,0.241611,0.0709859,0.162854,0.0808549,0.109792,0.0587876
-36.875,-55.875,0.0778226,0.119955,0.205524,0.0669583,0.0767339,0.169208,0.212944,0.051129,0.139333,0.118669,0.0655,0.0309274
-36.875,-55.625,0.0701613,0.0926786,0.17129,0.0504167,0.118508,0.201625,0.236452,0.0731855,0.161458,0.123508,0.106458,0.044879
-36.875,-55.375,0.102177,0.08,0.13871,0.0947083,0.181008,0.15875,0.279556,0.0879839,0.175833,0.108387,0.081375,0.0443952
-36.875,-55.125,0.0935484,0.0793304,0.10754,0.0835,0.177218,0.157542,0.304637,0.0975806,0.149667,0.106371,0.0753333,0.0606452
-36.875,-54.875,0.0909274,0.08625,0.0885484,0.0915833,0.0428629,0.150167,0.421169,0.0801613,0.144292,0.0919758,0.135833,0.0677419
-36.875,-54.625,0.0743548,0.0971429,0.0670968,0.0850833,0.0422177,0.1465,0.431532,0.0837097,0.106833,0.0471774,0.104958,0.0993145
-36.875,-54.375,0.0986694,0.0780804,0.0705645,0.0799583,0.060121,0.1825,0.339556,0.098871,0.0958333,0.0720161,0.0714583,0.0879435
-36.875,-54.125,0.123185,0.0688839,0.0744758,0.0903333,0.0485081,0.170292,0.297137,0.100685,0.1365,0.0922984,0.109792,0.0889919
-36.875,-53.875,0.13371,0.0899554,0.05,0.0992083,0.0553226,0.173917,0.262984,0.118831,0.175833,0.0666129,0.111542,0.077379
-36.875,-53.625,0.0879435,0.0816071,0.0335081,0.12975,0.0581048,0.180833,0.236089,0.109476,0.148625,0.0591935,0.111333,0.0766532
